        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.61600000e+02,        +7.599762001121e-13,        +7.241722411362e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.512382385702e-13,        +7.723994310756e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.503757344885e-13,        +7.722870437344e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.63200000e+02,        +7.605790333172e-13,        +7.233801365513e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.549807009365e-13,        +7.687281338160e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.541138457359e-13,        +7.686096752419e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.64800000e+02,        +7.611543714029e-13,        +7.225932244421e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.586765371305e-13,        +7.651780115140e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.578053352874e-13,        +7.650533084843e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.66400000e+02,        +7.617019360218e-13,        +7.218116951197e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.623258383369e-13,        +7.617495379053e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.614502958021e-13,        +7.616184193942e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +7.622214692985e-13,        +7.210357388221e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.659287140483e-13,        +7.584432157556e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.650488382338e-13,        +7.583055131002e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.69600000e+02,        +7.627127340450e-13,        +7.202655454943e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694852923913e-13,        +7.552595813259e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.686010921437e-13,        +7.551151284228e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.71200000e+02,        +7.631755139302e-13,        +7.195013045393e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.729957206474e-13,        +7.521992088691e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.721072061986e-13,        +7.520478424070e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.72800000e+02,        +7.636096135895e-13,        +7.187432045360e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.764601659674e-13,        +7.492627150978e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.755673488480e-13,        +7.491042748262e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.74400000e+02,        +7.640148586611e-13,        +7.179914329241e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.798788162657e-13,        +7.464507635264e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.789817091668e-13,        +7.462850925541e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +7.643910957397e-13,        +7.172461756667e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.832518812697e-13,        +7.437640685533e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.823504978397e-13,        +7.435910136620e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.77600000e+02,        +7.647381922433e-13,        +7.165076169076e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.865795936807e-13,        +7.412033990944e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.856739482455e-13,        +7.410228110388e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.79200000e+02,        +7.650560362050e-13,        +7.157759386528e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.898622103722e-13,        +7.387695815140e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.889523175789e-13,        +7.385813152729e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.80800000e+02,        +7.653445360177e-13,        +7.150513205133e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.931000135222e-13,        +7.364635015223e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.921858879125e-13,        +7.362674164552e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.82400000e+02,        +7.656036201751e-13,        +7.143339395454e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.962933115208e-13,        +7.342861046097e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.953749670593e-13,        +7.340820644784e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+02,        +7.658332370625e-13,        +7.136239702135e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.994424394443e-13,        +7.322383944701e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.985198890349e-13,        +7.320262672952e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.85600000e+02,        +7.660333548475e-13,        +7.129215844804e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.025477588110e-13,        +7.303214287106e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.016210138436e-13,        +7.301010864596e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.87200000e+02,        +7.662039615008e-13,        +7.122269519984e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.056096562543e-13,        +7.285363109526e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.046787262205e-13,        +7.283076290872e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.88800000e+02,        +7.663450649442e-13,        +7.115402403530e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.086285406431e-13,        +7.268841781830e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.076934328505e-13,        +7.266470351252e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.90400000e+02,        +7.664566932931e-13,        +7.108616152940e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.116048380592e-13,        +7.253661819243e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.106655574550e-13,        +7.251204585260e-13,        +0.000000000000e+00,        +0.000000000000e+00
