        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.40800000e+02,        +1.358236284525e-12,        +1.619817209875e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.358854113661e-12,        +1.620103030544e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.359082711420e-12,        +1.620769642331e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.358615167257e-12,        +1.620538826544e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42400000e+02,        +1.386094553636e-12,        +1.629897069082e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.386725120891e-12,        +1.630194252119e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.386971644992e-12,        +1.630862940606e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.386493383950e-12,        +1.630617719761e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +1.413590861825e-12,        +1.638955984272e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.414233077050e-12,        +1.639262722193e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.414497635496e-12,        +1.639932546147e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.414009129689e-12,        +1.639674227936e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.45600000e+02,        +1.440587253087e-12,        +1.646926163599e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.441239876538e-12,        +1.647240518102e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.441522484437e-12,        +1.647910499120e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.441024290432e-12,        +1.647640502387e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.47200000e+02,        +1.466946185479e-12,        +1.653746646862e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.467607832963e-12,        +1.654066564357e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.467908407755e-12,        +1.654735694619e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.467401165809e-12,        +1.654455540242e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48800000e+02,        +1.492532525331e-12,        +1.659364351068e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.493201676664e-12,        +1.659687681008e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.493520034770e-12,        +1.660354932039e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.493004466430e-12,        +1.660066231889e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50400000e+02,        +1.517215512227e-12,        +1.663734931956e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.517890523038e-12,        +1.664059447629e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.518226378130e-12,        +1.664723779914e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.517703282142e-12,        +1.664428224107e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +1.540870616194e-12,        +1.666823422724e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541549732994e-12,        +1.667146844044e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541902696005e-12,        +1.667807217300e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541372942526e-12,        +1.667506560024e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.53600000e+02,        +1.563381211734e-12,        +1.668604622495e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.564062590032e-12,        +1.668924640230e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.564432170982e-12,        +1.669580024112e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.563896694165e-12,        +1.669276068366e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.55200000e+02,        +1.584640002411e-12,        +1.669063221028e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.585321727520e-12,        +1.669377521828e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.585707339181e-12,        +1.670026906828e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.585167128255e-12,        +1.669721488468e-12,        +0.000000000000e+00,        +0.000000000000e+00
