        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.44000000e+02,        +1.413591158233e-12,        +1.638956311394e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.414233104425e-12,        +1.639262740851e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.414497786443e-12,        +1.639932672613e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.414009227286e-12,        +1.639674228994e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.45600000e+02,        +1.440587601168e-12,        +1.646926547900e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.441239921375e-12,        +1.647240549988e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.441522644839e-12,        +1.647910629501e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.441024409232e-12,        +1.647640514974e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.47200000e+02,        +1.466946588398e-12,        +1.653747093568e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.467607896798e-12,        +1.654066611175e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.467908579295e-12,        +1.654735830559e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.467401307565e-12,        +1.654455565624e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48800000e+02,        +1.492532985942e-12,        +1.659364865345e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.493201760849e-12,        +1.659687744428e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.493520219090e-12,        +1.660355075163e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.493004632773e-12,        +1.660066271304e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50400000e+02,        +1.517216032895e-12,        +1.663735518714e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.517890628626e-12,        +1.664059529178e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.518226576756e-12,        +1.664723931748e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.517703474465e-12,        +1.664428278692e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +1.540871198585e-12,        +1.666824086374e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541549860595e-12,        +1.667146944973e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541902910253e-12,        +1.667807379178e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541373161846e-12,        +1.667506630728e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.53600000e+02,        +1.563381856583e-12,        +1.668605366651e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.564062739655e-12,        +1.668924761346e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.564432401864e-12,        +1.669580197056e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.563896940969e-12,        +1.669276155848e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.55200000e+02,        +1.584640709272e-12,        +1.669064048182e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.585321898404e-12,        +1.669377663312e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.585707587295e-12,        +1.670027091426e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.585167402328e-12,        +1.669721592981e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.56800000e+02,        +1.604550911180e-12,        +1.668194573055e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.605230444695e-12,        +1.668500114655e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.605631483017e-12,        +1.669142557994e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.605087606870e-12,        +1.668837454485e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.58400000e+02,        +1.623026858144e-12,        +1.666000756611e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.623702752458e-12,        +1.666295977177e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.624118378741e-12,        +1.666930501051e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.623571877375e-12,        +1.666627645174e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +1.639994631080e-12,        +1.662495196874e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.640664906459e-12,        +1.662777918915e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.641094283650e-12,        +1.663403641120e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.640546243888e-12,        +1.663104870454e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.61600000e+02,        +1.655392105641e-12,        +1.657698518844e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.656054812261e-12,        +1.657966656616e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.656497037589e-12,        +1.658582756611e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.655948554413e-12,        +1.658289878806e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.63200000e+02,        +1.669168760344e-12,        +1.651638507320e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.669822003934e-12,        +1.651890086233e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.670276119726e-12,        +1.652495813301e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.669728283413e-12,        +1.652210592361e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.64800000e+02,        +1.681285233752e-12,        +1.644349185882e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.681927200125e-12,        +1.644582359184e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.682392205256e-12,        +1.645177039384e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.681846088698e-12,        +1.644901183268e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66400000e+02,        +1.691712694388e-12,        +1.635869898697e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.692341672217e-12,        +1.636082961158e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.692816533875e-12,        +1.636666002938e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.692273180412e-12,        +1.636401152601e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +1.700432094143e-12,        +1.626244446227e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.701046495419e-12,        +1.626435844694e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.701530160867e-12,        +1.627006743051e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.700990572931e-12,        +1.626754463003e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.69600000e+02,        +1.707433376520e-12,        +1.615520316349e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.708031754224e-12,        +1.615688657160e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.708523162245e-12,        +1.616246996289e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.707988291104e-12,        +1.616008766663e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.71200000e+02,        +1.712714705418e-12,        +1.603748039911e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.713295768046e-12,        +1.603892093277e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.713793859820e-12,        +1.604437547683e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.713264596640e-12,        +1.604214757768e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.72800000e+02,        +1.716281769136e-12,        +1.590980685659e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.716844391853e-12,        +1.591099387220e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717348121019e-12,        +1.591631721326e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.716825289429e-12,        +1.591425664476e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.74400000e+02,        +1.718147199259e-12,        +1.577273495222e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718690431558e-12,        +1.577365945061e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.719198773303e-12,        +1.577885011366e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718683123573e-12,        +1.577696881162e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +1.718330126755e-12,        +1.562683645677e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718853196623e-12,        +1.562749105124e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.719365155667e-12,        +1.563254841029e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718857360570e-12,        +1.563085728568e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.77600000e+02,        +1.716855879764e-12,        +1.547270116389e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717358194458e-12,        +1.547308002962e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717872811879e-12,        +1.547800426409e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717373464221e-12,        +1.547651318583e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.79200000e+02,        +1.713755810925e-12,        +1.531093629018e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714236954542e-12,        +1.531103509886e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714753313424e-12,        +1.531582713977e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714262925186e-12,        +1.531454492618e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80800000e+02,        +1.709067228121e-12,        +1.514216625454e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.709526956229e-12,        +1.514198209743e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.710044186170e-12,        +1.514664356548e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.709563189161e-12,        +1.514557798322e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.82400000e+02,        +1.702833392338e-12,        +1.496703247831e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.703271624003e-12,        +1.496656378111e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.703788904537e-12,        +1.497109691868e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.703317652399e-12,        +1.497025468819e-12,        +0.000000000000e+00,        +0.000000000000e+00
