 time            v1              v2              v3              v4             
 1.81280000e-11 -8.53426450e-02  9.83935824e-03  8.14572500e-01  3.91681898e-01 
 1.82280000e-11 -1.01538351e-03 -1.97981444e-02  7.55453345e-01  3.80233199e-01 
 1.83280000e-11  8.83711143e-02 -4.44371964e-02  6.93429624e-01  3.69714039e-01 
 1.84280000e-11  1.81914227e-01 -6.38277224e-02  6.29124601e-01  3.60231460e-01 
 1.85280000e-11  2.78669358e-01 -7.77728071e-02  5.63184786e-01  3.51881904e-01 
 1.86280000e-11  3.77659479e-01 -8.61307148e-02  4.96273462e-01  3.44750200e-01 
 1.87280000e-11  4.77884991e-01 -8.88163441e-02  4.29064020e-01  3.38908686e-01 
 1.88280000e-11  5.78333819e-01 -8.58021029e-02  3.62233187e-01  3.34416461e-01 
 1.89280000e-11  6.77991635e-01 -7.71181952e-02  2.96454209e-01  3.31318779e-01 
 1.90280000e-11  7.75852097e-01 -6.28523169e-02  2.32390057e-01  3.29646594e-01 
 1.91280000e-11  8.70927014e-01 -4.31487640e-02  1.70686725e-01  3.29416254e-01 
 1.92280000e-11  9.62256323e-01 -1.82069631e-02  1.11966694e-01  3.30629354e-01 
 1.93280000e-11  1.04891778e+00  1.17205603e-02  5.68226246e-02  3.33272739e-01 
 1.94280000e-11  1.13003629e+00  4.63307550e-02  5.81133716e-03  3.37318662e-01 
 1.95280000e-11  1.20479271e+00  8.52731304e-02 -4.05518420e-02  3.42725098e-01 
 1.96280000e-11  1.27243216e+00  1.28153325e-01 -8.17983253e-02  3.49436197e-01 
 1.97280000e-11  1.33227162e+00  1.74537119e-01 -1.17511038e-01  3.57382884e-01 
 1.98280000e-11  1.38370682e+00  2.23954852e-01 -1.47328673e-01  3.66483590e-01 
 1.99280000e-11  1.42621838e+00  2.75906196e-01 -1.70949382e-01  3.76645109e-01 
 2.00280000e-11  1.45937703e+00  3.29865237e-01 -1.88133865e-01  3.87763570e-01 
 2.01280000e-11  1.48284791e+00  3.85285817e-01 -1.98707825e-01  3.99725514e-01 
 2.02280000e-11  1.49639403e+00  4.41607073e-01 -2.02563763e-01  4.12409066e-01 
 2.03280000e-11  1.49987860e+00  4.98259121e-01 -1.99662095e-01  4.25685185e-01 
 2.04280000e-11  1.49326643e+00  5.54668833e-01 -1.90031575e-01  4.39418984e-01 
 2.05280000e-11  1.47662428e+00  6.10265642e-01 -1.73769027e-01  4.53471103e-01 
 2.06280000e-11  1.45012022e+00  6.64487306e-01 -1.51038379e-01  4.67699123e-01 
 2.07280000e-11  1.41402187e+00  7.16785604e-01 -1.22069015e-01  4.81959008e-01 
 2.08280000e-11  1.36869377e+00  7.66631866e-01 -8.71534659e-02  4.96106555e-01 
 2.09280000e-11  1.31459362e+00  8.13522317e-01 -4.66444475e-02  5.09998841e-01 
 2.10280000e-11  1.25226774e+00  8.56983155e-01 -9.51295256e-04  5.23495663e-01 
 2.11280000e-11  1.18234548e+00  8.96575337e-01  4.94641827e-02  5.36460930e-01 
 2.12280000e-11  1.10553292e+00  9.31898991e-01  1.04092383e-01  5.48764032e-01 
 2.13280000e-11  1.02260571e+00  9.62597455e-01  1.62381074e-01  5.60281132e-01 
 2.14280000e-11  9.34401240e-01  9.88360854e-01  2.23740985e-01  5.70896400e-01 
 2.15280000e-11  8.41810205e-01  1.00892922e+00  2.87551789e-01  5.80503164e-01 
 2.16280000e-11  7.45767583e-01  1.02409511e+00  3.53168379e-01  5.89004964e-01 
 2.17280000e-11  6.47243207e-01  1.03370567e+00  4.19927409e-01  5.96316510e-01 
 2.18280000e-11  5.47231975e-01  1.03766416e+00  4.87154011e-01  6.02364522e-01 
 2.19280000e-11  4.46743795e-01  1.03593096e+00  5.54168631e-01  6.07088453e-01 
 2.20280000e-11  3.46793395e-01  1.02852388e+00  6.20293908e-01  6.10441087e-01 
 2.21280000e-11  2.48390070e-01  1.01551806e+00  6.84861528e-01  6.12389003e-01 
 2.22280000e-11  1.52527494e-01  9.97045125e-01  7.47218987e-01  6.12912903e-01 
 2.23280000e-11  6.01736831e-02  9.73291885e-01  8.06736186e-01  6.12007798e-01 
 2.24280000e-11 -2.77387765e-02  9.44498437e-01  8.62811803e-01  6.09683054e-01 
 2.25280000e-11 -1.10322148e-01  9.10955734e-01  9.14879368e-01  6.05962295e-01 
 2.26280000e-11 -1.86742507e-01  8.73002644e-01  9.62412982e-01  6.00883168e-01 
 2.27280000e-11 -2.56228163e-01  8.31022527e-01  1.00493263e+00  5.94496961e-01 
 2.28280000e-11 -3.18077454e-01  7.85439368e-01  1.04200900e+00  5.86868094e-01 
 2.29280000e-11 -3.71665826e-01  7.36713495e-01  1.07326787e+00  5.78073471e-01 
 2.30280000e-11 -4.16452146e-01  6.85336937e-01  1.09839380e+00  5.68201716e-01 
 2.31280000e-11 -4.51984163e-01  6.31828458e-01  1.11713336e+00  5.57352286e-01 
 2.32280000e-11 -4.77903076e-01  5.76728323e-01  1.12929766e+00  5.45634474e-01 
 2.33280000e-11 -4.93947158e-01  5.20592854e-01  1.13476426e+00  5.33166319e-01 
 2.34280000e-11 -4.99954395e-01  4.63988814e-01  1.13347836e+00  5.20073426e-01 
 2.35280000e-11 -4.95864126e-01  4.07487691e-01  1.12545337e+00  5.06487703e-01 
 2.36280000e-11 -4.81717656e-01  3.51659932e-01  1.11077076e+00  4.92546041e-01 
 2.37280000e-11 -4.57657833e-01  2.97069194e-01  1.08957922e+00  4.78388945e-01 
 2.38280000e-11 -4.23927615e-01  2.44266650e-01  1.06209315e+00  4.64159116e-01 
 2.39280000e-11 -3.80867606e-01  1.93785434e-01  1.02859048e+00  4.50000021e-01 
 2.40280000e-11 -3.28912627e-01  1.46135256e-01  9.89409866e-01  4.36054451e-01 
 2.41280000e-11 -2.68587316e-01  1.01797264e-01  9.44947259e-01  4.22463078e-01 
 2.42280000e-11 -2.00500836e-01  6.12191798e-02  8.95651905e-01  4.09363044e-01 
 2.43280000e-11 -1.25340723e-01  2.48107844e-02  8.42021801e-01  3.96886570e-01 
 2.44280000e-11 -4.38659406e-02 -7.06022213e-03  7.84598675e-01  3.85159628e-01 
 2.45280000e-11  4.31007819e-02 -3.40719341e-02  7.23962505e-01  3.74300662e-01 
 2.46280000e-11  1.34681257e-01 -5.59514925e-02  6.60725672e-01  3.64419394e-01 
 2.47280000e-11  2.29950709e-01 -7.24778429e-02  5.95526776e-01  3.55615707e-01 
 2.48280000e-11  3.27947109e-01 -8.34839701e-02  5.29024195e-01  3.47978639e-01 
 2.49280000e-11  4.27680893e-01 -8.88585883e-02  4.61889435e-01  3.41585473e-01 
 2.50280000e-11  5.28144953e-01 -8.85472685e-02  3.94800363e-01  3.36500954e-01 
 2.51280000e-11  6.28324806e-01 -8.25529921e-02  3.28434360e-01  3.32776630e-01 
 2.52280000e-11  7.27208840e-01 -7.09361244e-02  2.63461494e-01  3.30450326e-01 
 2.53280000e-11  8.23798527e-01 -5.38138091e-02  2.00537756e-01  3.29545751e-01 
 2.54280000e-11  9.17118507e-01 -3.13587888e-02  1.40298441e-01  3.30072264e-01 
 2.55280000e-11  1.00622644e+00 -3.79766446e-03  8.33517398e-02  3.32024763e-01 
 2.56280000e-11  1.09022251e+00  2.85913904e-02  3.02726042e-02  3.35383740e-01 
 2.57280000e-11  1.16825854e+00  6.54814359e-02 -1.84030577e-02  3.40115470e-01 
 2.58280000e-11  1.23954652e+00  1.06500065e-01 -6.21837879e-02  3.46172350e-01 
 2.59280000e-11  1.30336658e+00  1.51233163e-01 -1.00627538e-01  3.53493377e-01 
 2.60280000e-11  1.35907427e+00  1.99229089e-01 -1.33346133e-01  3.62004762e-01 
 2.61280000e-11  1.40610706e+00  2.50003233e-01 -1.60009187e-01  3.71620675e-01 
 2.62280000e-11  1.44399001e+00  3.03042914e-01 -1.80347441e-01  3.82244108e-01 
 2.63280000e-11  1.47234058e+00  3.57812556e-01 -1.94155483e-01  3.93767859e-01 
 2.64280000e-11  1.49087249e+00  4.13759095e-01 -2.01293820e-01  4.06075615e-01 
 2.65280000e-11  1.49939860e+00  4.70317569e-01 -2.01690294e-01  4.19043124e-01 
 2.66280000e-11  1.49783282e+00  5.26916822e-01 -1.95340806e-01  4.32539455e-01 
 2.67280000e-11  1.48619096e+00  5.82985276e-01 -1.82309365e-01  4.46428323e-01 
 2.68280000e-11  1.46459057e+00  6.37956704e-01 -1.62727446e-01  4.60569465e-01 
 2.69280000e-11  1.43324978e+00  6.91275947e-01 -1.36792658e-01  4.74820061e-01 
 2.70280000e-11  1.39248507e+00  7.42404528e-01 -1.04766760e-01  4.89036177e-01 
 2.71280000e-11  1.34270807e+00  7.90826090e-01 -6.69730178e-02  5.03074222e-01 
 2.72280000e-11  1.28442144e+00  8.36051608e-01 -2.37929408e-02  5.16792401e-01 
 2.73280000e-11  1.21821374e+00  8.77624335e-01  2.43375644e-02  5.30052151e-01 
 2.74280000e-11  1.14475355e+00  9.15124415e-01  7.69325945e-02  5.42719536e-01 
 2.75280000e-11  1.06478266e+00  9.48173120e-01  1.33461154e-01  5.54666609e-01 
 2.76280000e-11  9.79108608e-01  9.76436683e-01  1.93352515e-01  5.65772700e-01 
 2.77280000e-11  8.88596537e-01  9.99629662e-01  2.56001978e-01  5.75925639e-01 
 2.78280000e-11  7.94160431e-01  1.01751783e+00  3.20776981e-01  5.85022887e-01 
 2.79280000e-11  6.96753904e-01  1.02992053e+00  3.87023480e-01  5.92972574e-01 
 2.80280000e-11  5.97360561e-01  1.03671251e+00  4.54072559e-01  5.99694425e-01 
 2.81280000e-11  4.96984076e-01  1.03782520e+00  5.21247184e-01  6.05120573e-01 
 2.82280000e-11  3.96638045e-01  1.03324735e+00  5.87869036e-01  6.09196240e-01 
 2.83280000e-11  2.97335759e-01  1.02302523e+00  6.53265368e-01  6.11880293e-01 
 2.84280000e-11  2.00079970e-01  1.00726207e+00  7.16775796e-01  6.13145656e-01 
 2.85280000e-11  1.05852763e-01  9.86117077e-01  7.77758969e-01  6.12979584e-01 
 2.86280000e-11  1.56056422e-02  9.59803815e-01  8.35599048e-01  6.11383791e-01 
 2.87280000e-11 -6.97500813e-02  9.28588033e-01  8.89711926e-01  6.08374427e-01 
