t_ns,out1_mv,out2_mv,out3_mv,out4_mv
2.550000e-01,-2.084672e-01,2.339732e-01,-6.158080e-01,5.238344e-01
2.560000e-01,-2.021431e-01,2.292053e-01,-6.190947e-01,5.261995e-01
2.570000e-01,-1.958003e-01,2.243571e-01,-6.222823e-01,5.284507e-01
2.580000e-01,-1.894308e-01,2.194306e-01,-6.253458e-01,5.305717e-01
2.590000e-01,-1.830246e-01,2.144672e-01,-6.282915e-01,5.325838e-01
2.600000e-01,-1.765826e-01,2.095124e-01,-6.311495e-01,5.345344e-01
2.610000e-01,-1.701148e-01,2.045603e-01,-6.339381e-01,5.364416e-01
2.620000e-01,-1.636312e-01,1.995673e-01,-6.366540e-01,5.382756e-01
2.630000e-01,-1.571372e-01,1.945034e-01,-6.392757e-01,5.400007e-01
2.640000e-01,-1.506273e-01,1.893620e-01,-6.417761e-01,5.415947e-01
2.650000e-01,-1.440891e-01,1.841751e-01,-6.441519e-01,5.430679e-01
2.660000e-01,-1.375184e-01,1.789929e-01,-6.464289e-01,5.444662e-01
2.670000e-01,-1.309239e-01,1.738261e-01,-6.486300e-01,5.458217e-01
2.680000e-01,-1.243174e-01,1.686352e-01,-6.507568e-01,5.471138e-01
2.690000e-01,-1.177074e-01,1.633842e-01,-6.527937e-01,5.483035e-01
2.700000e-01,-1.110922e-01,1.580598e-01,-6.547137e-01,5.493641e-01
2.710000e-01,-1.044589e-01,1.526832e-01,-6.565058e-01,5.502952e-01
2.720000e-01,-9.779802e-02,1.473043e-01,-6.581890e-01,5.511367e-01
2.730000e-01,-9.111540e-02,1.419490e-01,-6.597893e-01,5.519316e-01
2.740000e-01,-8.442383e-02,1.365876e-01,-6.613132e-01,5.526727e-01
2.750000e-01,-7.773452e-02,1.311785e-01,-6.627501e-01,5.533202e-01
2.760000e-01,-7.104992e-02,1.257031e-01,-6.640757e-01,5.538433e-01
2.770000e-01,-6.435875e-02,1.201718e-01,-6.652731e-01,5.542318e-01
2.780000e-01,-5.764694e-02,1.146302e-01,-6.663537e-01,5.545170e-01
2.790000e-01,-5.091551e-02,1.091164e-01,-6.673434e-01,5.547485e-01
2.800000e-01,-4.417746e-02,1.036135e-01,-6.682539e-01,5.549341e-01
2.810000e-01,-3.744609e-02,9.807772e-02,-6.690792e-01,5.550368e-01
2.820000e-01,-3.072818e-02,9.248433e-02,-6.697989e-01,5.550214e-01
2.830000e-01,-2.401561e-02,8.683394e-02,-6.703929e-01,5.548698e-01
2.840000e-01,-1.729134e-02,8.116468e-02,-6.708645e-01,5.546024e-01
2.850000e-01,-1.055038e-02,7.552254e-02,-6.712371e-01,5.542704e-01
2.860000e-01,-3.804490e-03,6.990606e-02,-6.715272e-01,5.538974e-01
2.870000e-01,2.931362e-03,6.427272e-02,-6.717327e-01,5.534533e-01
2.880000e-01,9.646448e-03,5.859172e-02,-6.718381e-01,5.528987e-01
2.890000e-01,1.634454e-02,5.285617e-02,-6.718223e-01,5.522100e-01
2.900000e-01,2.304346e-02,4.709463e-02,-6.716813e-01,5.513962e-01
2.910000e-01,2.975464e-02,4.135595e-02,-6.714342e-01,5.505049e-01
2.920000e-01,3.646954e-02,3.565461e-02,-6.711003e-01,5.495740e-01
2.930000e-01,4.317190e-02,2.995415e-02,-6.706820e-01,5.485846e-01
