t_ns,out1_mv,out2_mv,out3_mv,out4_mv
1.610000e-01,-4.686084e-01,4.422389e-01,-2.016763e-01,2.446792e-01
1.620000e-01,-4.662308e-01,4.412260e-01,-2.094942e-01,2.511684e-01
1.630000e-01,-4.637758e-01,4.401137e-01,-2.172858e-01,2.576063e-01
1.640000e-01,-4.612346e-01,4.388934e-01,-2.250085e-01,2.639764e-01
1.650000e-01,-4.586103e-01,4.375940e-01,-2.326542e-01,2.702855e-01
1.660000e-01,-4.559153e-01,4.362613e-01,-2.402594e-01,2.765625e-01
1.670000e-01,-4.531575e-01,4.349036e-01,-2.478573e-01,2.828260e-01
1.680000e-01,-4.503362e-01,4.334861e-01,-2.554534e-01,2.890625e-01
1.690000e-01,-4.474440e-01,4.319762e-01,-2.630260e-01,2.952470e-01
1.700000e-01,-4.444713e-01,4.303584e-01,-2.705323e-01,3.013592e-01
1.710000e-01,-4.414172e-01,4.286515e-01,-2.779526e-01,3.073981e-01
1.720000e-01,-4.382910e-01,4.269024e-01,-2.853141e-01,3.133901e-01
1.730000e-01,-4.351022e-01,4.251338e-01,-2.926548e-01,3.193620e-01
1.740000e-01,-4.318527e-01,4.233179e-01,-2.999863e-01,3.253079e-01
1.750000e-01,-4.285381e-01,4.214175e-01,-3.072946e-01,3.312020e-01
1.760000e-01,-4.251497e-01,4.194125e-01,-3.145405e-01,3.370215e-01
1.770000e-01,-4.216831e-01,4.173111e-01,-3.216946e-01,3.427579e-01
1.780000e-01,-4.181442e-01,4.151568e-01,-3.287733e-01,3.484319e-01
1.790000e-01,-4.145428e-01,4.129847e-01,-3.358158e-01,3.540764e-01
1.800000e-01,-4.108829e-01,4.107781e-01,-3.428407e-01,3.596954e-01
1.810000e-01,-4.071631e-01,4.084971e-01,-3.498408e-01,3.652644e-01
1.820000e-01,-4.033765e-01,4.061172e-01,-3.567824e-01,3.707581e-01
1.830000e-01,-3.995169e-01,4.036368e-01,-3.636302e-01,3.761615e-01
1.840000e-01,-3.955862e-01,4.010924e-01,-3.703880e-01,3.814881e-01
1.850000e-01,-3.915929e-01,3.985282e-01,-3.770935e-01,3.867729e-01
1.860000e-01,-3.875432e-01,3.959413e-01,-3.837719e-01,3.920312e-01
1.870000e-01,-3.834382e-01,3.932923e-01,-3.904222e-01,3.972425e-01
1.880000e-01,-3.792736e-01,3.905516e-01,-3.970178e-01,4.023791e-01
1.890000e-01,-3.750429e-01,3.877093e-01,-4.035209e-01,4.074207e-01
1.900000e-01,-3.707443e-01,3.847930e-01,-4.099232e-01,4.123725e-01
1.910000e-01,-3.663838e-01,3.818507e-01,-4.162569e-01,4.172681e-01
1.920000e-01,-3.619688e-01,3.788950e-01,-4.225529e-01,4.221333e-01
1.930000e-01,-3.575021e-01,3.758911e-01,-4.288157e-01,4.269552e-01
1.940000e-01,-3.529824e-01,3.728041e-01,-4.350260e-01,4.317042e-01
1.950000e-01,-3.484041e-01,3.696179e-01,-4.411467e-01,4.363563e-01
1.960000e-01,-3.437628e-01,3.663495e-01,-4.471592e-01,4.409077e-01
1.970000e-01,-3.390611e-01,3.630462e-01,-4.530871e-01,4.453876e-01
1.980000e-01,-3.343062e-01,3.597352e-01,-4.589652e-01,4.498302e-01
1.990000e-01,-3.295029e-01,3.563903e-01,-4.648038e-01,4.542326e-01
