t_ns,out1_mv,out2_mv,out3_mv,out4_mv
1.580000e-01,-3.477245e-01,3.612723e-01,1.955894e-03,1.222488e-01
1.590000e-01,-3.467461e-01,3.616146e-01,-4.682966e-03,1.265702e-01
1.600000e-01,-3.457175e-01,3.619543e-01,-1.131970e-02,1.308939e-01
1.610000e-01,-3.446519e-01,3.623017e-01,-1.801242e-02,1.352422e-01
1.620000e-01,-3.435471e-01,3.626040e-01,-2.476723e-02,1.395920e-01
1.630000e-01,-3.423873e-01,3.628062e-01,-3.153579e-02,1.439036e-01
1.640000e-01,-3.411558e-01,3.628884e-01,-3.824757e-02,1.481509e-01
1.650000e-01,-3.398522e-01,3.628860e-01,-4.487999e-02,1.523426e-01
1.660000e-01,-3.384924e-01,3.628672e-01,-5.148525e-02,1.565206e-01
1.670000e-01,-3.370928e-01,3.628618e-01,-5.812931e-02,1.607192e-01
1.680000e-01,-3.356560e-01,3.628287e-01,-6.483130e-02,1.649266e-01
1.690000e-01,-3.341714e-01,3.627070e-01,-7.155639e-02,1.691019e-01
1.700000e-01,-3.326223e-01,3.624649e-01,-7.823514e-02,1.732118e-01
1.710000e-01,-3.310021e-01,3.621232e-01,-8.482771e-02,1.772535e-01
1.720000e-01,-3.293212e-01,3.617479e-01,-9.136942e-02,1.812639e-01
1.730000e-01,-3.275964e-01,3.613864e-01,-9.792941e-02,1.852868e-01
1.740000e-01,-3.258351e-01,3.610138e-01,-1.045398e-01,1.893239e-01
1.750000e-01,-3.240317e-01,3.605667e-01,-1.111795e-01,1.933367e-01
1.760000e-01,-3.221718e-01,3.600031e-01,-1.177844e-01,1.972859e-01
1.770000e-01,-3.202445e-01,3.593288e-01,-1.243018e-01,2.011577e-01
1.780000e-01,-3.182541e-01,3.586025e-01,-1.307480e-01,2.049807e-01
1.790000e-01,-3.162155e-01,3.578852e-01,-1.371897e-01,2.088041e-01
1.800000e-01,-3.141395e-01,3.571713e-01,-1.436713e-01,2.126449e-01
1.810000e-01,-3.120259e-01,3.563997e-01,-1.501847e-01,2.164703e-01
1.820000e-01,-3.098636e-01,3.555192e-01,-1.566748e-01,2.202365e-01
1.830000e-01,-3.076401e-01,3.545209e-01,-1.630810e-01,2.239196e-01
1.840000e-01,-3.053531e-01,3.534527e-01,-1.693999e-01,2.275376e-01
1.850000e-01,-3.030140e-01,3.523834e-01,-1.756904e-01,2.311405e-01
1.860000e-01,-3.006355e-01,3.513282e-01,-1.820069e-01,2.347601e-01
1.870000e-01,-2.982221e-01,3.502342e-01,-1.883542e-01,2.383738e-01
1.880000e-01,-2.957674e-01,3.490419e-01,-1.946886e-01,2.419350e-01
1.890000e-01,-2.932590e-01,3.477293e-01,-2.009462e-01,2.454109e-01
1.900000e-01,-2.906898e-01,3.463305e-01,-2.071058e-01,2.488073e-01
1.910000e-01,-2.880657e-01,3.449161e-01,-2.132139e-01,2.521710e-01
1.920000e-01,-2.853997e-01,3.435216e-01,-2.193315e-01,2.555459e-01
1.930000e-01,-2.827000e-01,3.421073e-01,-2.254757e-01,2.589237e-01
1.940000e-01,-2.799652e-01,3.406088e-01,-2.316149e-01,2.622578e-01
1.950000e-01,-2.771850e-01,3.389919e-01,-2.376869e-01,2.655081e-01
1.960000e-01,-2.743490e-01,3.372754e-01,-2.436554e-01,2.686675e-01
1.970000e-01,-2.714571e-01,3.355263e-01,-2.495512e-01,2.717757e-01
1.980000e-01,-2.685203e-01,3.337971e-01,-2.554371e-01,2.748852e-01
1.990000e-01,-2.655496e-01,3.320660e-01,-2.613425e-01,2.780039e-01
2.000000e-01,-2.625485e-01,3.302670e-01,-2.672478e-01,2.810893e-01
2.010000e-01,-2.595102e-01,3.283557e-01,-2.730963e-01,2.840952e-01
2.020000e-01,-2.564232e-01,3.263355e-01,-2.788408e-01,2.870029e-01
2.030000e-01,-2.532815e-01,3.242651e-01,-2.844947e-01,2.898414e-01
2.040000e-01,-2.500923e-01,3.222089e-01,-2.901176e-01,2.926675e-01
2.050000e-01,-2.468680e-01,3.201659e-01,-2.957502e-01,2.955057e-01
2.060000e-01,-2.436162e-01,3.180743e-01,-3.013846e-01,2.983223e-01
2.070000e-01,-2.403351e-01,3.158798e-01,-3.069723e-01,3.010664e-01
2.080000e-01,-2.370137e-01,3.135715e-01,-3.124601e-01,3.037089e-01
2.090000e-01,-2.336417e-01,3.111961e-01,-3.178438e-01,3.062662e-01
2.100000e-01,-2.302206e-01,3.088243e-01,-3.231752e-01,3.087940e-01
2.110000e-01,-2.267622e-01,3.064767e-01,-3.285035e-01,3.113327e-01
2.120000e-01,-2.232779e-01,3.041010e-01,-3.338324e-01,3.138615e-01
2.130000e-01,-2.197706e-01,3.016352e-01,-3.391236e-01,3.163273e-01
2.140000e-01,-2.162323e-01,2.990554e-01,-3.443216e-01,3.186918e-01
