f_hz,asd_v,beta_f_vw,nep_w,nep_nopnp_w,g_usb,g_lsb,vif_dbv,nf_dsb_db,nf_ssb_db,nf_dsb_nopnp_db
1.000000e+03,8.107852e-06,4.121584e+01,1.967169e-07,1.492766e-08,6.694020e-01,6.694020e-01,-7.521100e+01,1.008861e+02,1.038964e+02,7.848913e+01
1.121999e+03,7.654374e-06,4.121584e+01,1.857144e-07,1.409284e-08,6.694020e-01,6.694020e-01,-7.521100e+01,1.003862e+02,1.033965e+02,7.798927e+01
1.258881e+03,7.226259e-06,4.121584e+01,1.753272e-07,1.330473e-08,6.694020e-01,6.694020e-01,-7.521100e+01,9.988629e+01,1.028966e+02,7.748942e+01
1.412463e+03,6.822089e-06,4.121584e+01,1.655210e-07,1.256069e-08,6.694020e-01,6.694020e-01,-7.521100e+01,9.938636e+01,1.023967e+02,7.698957e+01
1.584781e+03,6.440525e-06,4.121584e+01,1.562633e-07,1.185828e-08,6.694020e-01,6.694020e-01,-7.521100e+01,9.888644e+01,1.018967e+02,7.648974e+01
1.778122e+03,6.080302e-06,4.121584e+01,1.475234e-07,1.119516e-08,6.694020e-01,6.694020e-01,-7.521100e+01,9.838652e+01,1.013968e+02,7.598991e+01
1.995050e+03,5.740226e-06,4.121584e+01,1.392723e-07,1.056913e-08,6.694020e-01,6.694020e-01,-7.521100e+01,9.788660e+01,1.008969e+02,7.549009e+01
2.238444e+03,5.419171e-06,4.121584e+01,1.314827e-07,9.978128e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.738667e+01,1.003970e+02,7.499028e+01
2.511531e+03,5.116073e-06,4.121584e+01,1.241288e-07,9.420184e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.688675e+01,9.989705e+01,7.449049e+01
2.817934e+03,4.829928e-06,4.121584e+01,1.171862e-07,8.893454e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.638683e+01,9.939713e+01,7.399071e+01
