        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 2.16000000e+02,        +1.414213562373e-01,        +4.905567240121e-02,        -8.392846538220e-02,        -8.772498729529e-05,        +1.558157797495e-05,        +1.414213562373e-01,        -8.772498736189e-05,        +1.558157789748e-05,        +4.908223504596e-02,        -8.403683124872e-02
 2.17600000e+02,        +1.414213562373e-01,        +4.396581316206e-02,        -7.948997158500e-02,        -5.379477150753e-05,        +1.601899672189e-05,        +1.414213562373e-01,        -5.379477145883e-05,        +1.601899667297e-05,        +4.400159954855e-02,        -7.961004405962e-02
 2.19200000e+02,        +1.414213562373e-01,        +3.943633427610e-02,        -7.501355870793e-02,        -2.656496116611e-05,        +1.583485825364e-05,        +1.414213562373e-01,        -2.656496112672e-05,        +1.583485820340e-05,        +3.947887013936e-02,        -7.514540929857e-02
 2.20800000e+02,        +1.414213562373e-01,        +3.540685598239e-02,        -7.053507267485e-02,        -4.566397982202e-06,        +1.582795108618e-05,        +1.414213562373e-01,        -4.566397989140e-06,        +1.582795111567e-05,        +3.545401736279e-02,        -7.067850455964e-02
 2.22400000e+02,        +1.414213562373e-01,        +3.182372191987e-02,        -6.608045085480e-02,        +1.340629121727e-05,        +1.648985811723e-05,        +1.414213562373e-01,        +1.340629133750e-05,        +1.648985804149e-05,        +3.187369865952e-02,        -6.623508502789e-02
 2.24000000e+02,        +1.414213562373e-01,        +2.863956918252e-02,        -6.166812253565e-02,        +2.833504867506e-05,        +1.810751526310e-05,        +1.414213562373e-01,        +2.833504870334e-05,        +1.810751526340e-05,        +2.869082718732e-02,        -6.183346152661e-02
 2.25600000e+02,        +1.414213562373e-01,        +2.581277351155e-02,        -5.731084768804e-02,        +4.101743012808e-05,        +2.083349826005e-05,        +1.414213562373e-01,        +4.101743023817e-05,        +2.083349817625e-05,        +2.586401862147e-02,        -5.748632234649e-02
 2.27200000e+02,        +1.414213562373e-01,        +2.330685575499e-02,        -5.301712013800e-02,        +5.210151987586e-05,        +2.473383735607e-05,        +1.414213562373e-01,        +5.210151987420e-05,        +2.473383732160e-05,        +2.335700063304e-02,        -5.320212381135e-02
 2.28800000e+02,        +1.414213562373e-01,        +2.108989900317e-02,        -4.879223579754e-02,        +6.211583197429e-05,        +2.982031691515e-05,        +1.414213562373e-01,        +6.211583198349e-05,        +2.982031684041e-05,        +2.113803358960e-02,        -4.898614924570e-02
 2.30400000e+02,        +1.414213562373e-01,        +1.913400284130e-02,        -4.463910470941e-02,        +7.149428076622e-05,        +3.607212019996e-05,        +1.414213562373e-01,        +7.149428076856e-05,        +3.607212021585e-05,        +1.917936842153e-02,        -4.484131430599e-02
 2.32000000e+02,        +1.414213562373e-01,        +1.741478711807e-02,        -4.055886776342e-02,        +8.059673188687e-05,        +4.345019280848e-05,        +1.414213562373e-01,        +8.059673195952e-05,        +4.345019289645e-05,        +1.745675378273e-02,        -4.076877891835e-02
 2.33600000e+02,        +1.414213562373e-01,        +1.591094927757e-02,        -3.655136473389e-02,        +8.972579436731e-05,        +5.190664279081e-05,        +1.414213562373e-01,        +8.972579455324e-05,        +5.190664274500e-05,        +1.594899640584e-02,        -3.676841198852e-02
 2.35200000e+02,        +1.414213562373e-01,        +1.460387454098e-02,        -3.261548922872e-02,        +9.914051909934e-05,        +6.139076899769e-05,        +1.414213562373e-01,        +9.914051896402e-05,        +6.139076899836e-05,        +1.463757388900e-02,        -3.283914413909e-02
 2.36800000e+02,        +1.414213562373e-01,        +1.347729568273e-02,        -2.874945762680e-02,        +1.090676131997e-04,        +7.185280135084e-05,        +1.414213562373e-01,        +1.090676132581e-04,        +7.185280138459e-05,        +1.350629663500e-02,        -2.897923527413e-02
 2.38400000e+02,        +1.414213562373e-01,        +1.251699796088e-02,        -2.495101258173e-02,        +1.197107012424e-04,        +8.324608488335e-05,        +1.414213562373e-01,        +1.197107012914e-04,        +8.324608486614e-05,        +1.254101451337e-02,        -2.518647735891e-02
 2.40000000e+02,        +1.414213562373e-01,        +1.171056437641e-02,        -2.121757672839e-02,        +1.312580804649e-04,        +9.552820225655e-05,        +1.414213562373e-01,        +1.312580805589e-04,        +9.552820226268e-05,        +1.172936342571e-02,        -2.145834792656e-02
