        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 1.32800000e+02,        +1.414213562373e-01,        +1.266194163604e-01,        +3.285658408081e-03,        +2.162178504490e-02,        -8.240445535874e-02,        +2.163007293183e-02,        -8.239148702542e-02,        +1.414213562373e-01,        +2.162178504490e-02,        -8.240445535874e-02,        +2.147338532270e-01,        +1.440291212261e-02,        -4.971752536297e-02,        -2.859850633571e-02,        +1.414213562373e-01,        +2.163007293183e-02,        -8.239148702542e-02,        -4.971752536297e-02,        -2.859850633571e-02,        +2.147445628612e-01,        +1.449359438539e-02
 1.34400000e+02,        +1.414213562373e-01,        +1.267068227115e-01,        +3.079238080747e-03,        +2.030097972778e-02,        -8.273602264864e-02,        +2.030971927934e-02,        -8.272271841204e-02,        +1.414213562373e-01,        +2.030097972778e-02,        -8.273602264864e-02,        +2.151960906805e-01,        +1.328882960862e-02,        -5.051027373354e-02,        -2.707075261061e-02,        +1.414213562373e-01,        +2.030971927934e-02,        -8.272271841204e-02,        -5.051027373354e-02,        -2.707075261061e-02,        +2.152077041338e-01,        +1.338076889012e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.267877418484e-01,        +2.869858384121e-03,        +1.897465410201e-02,        -8.304596632402e-02,        +1.898387258372e-02,        -8.303233094687e-02,        +1.414213562373e-01,        +1.897465410201e-02,        -8.304596632402e-02,        +2.156269730416e-01,        +1.216432037165e-02,        -5.125757510217e-02,        -2.552259441115e-02,        +1.414213562373e-01,        +1.898387258372e-02,        -8.303233094687e-02,        -5.125757510217e-02,        -2.552259441115e-02,        +2.156395166090e-01,        +1.225749936690e-02
 1.37600000e+02,        +1.414213562373e-01,        +1.268620819560e-01,        +2.657705154347e-03,        +1.764318077995e-02,        -8.333417233570e-02,        +1.765290596197e-02,        -8.332021199437e-02,        +1.414213562373e-01,        +1.764318077995e-02,        -8.333417233570e-02,        +2.160263642736e-01,        +1.103019816109e-02,        -5.195898215556e-02,        -2.395529136393e-02,        +1.414213562373e-01,        +1.765290596197e-02,        -8.332021199437e-02,        -5.195898215556e-02,        -2.395529136393e-02,        +2.160398637530e-01,        +1.112459857295e-02
 1.39200000e+02,        +1.414213562373e-01,        +1.269297565025e-01,        +2.442967156537e-03,        +1.630693565365e-02,        -8.360053390427e-02,        +1.631719575170e-02,        -8.358625624298e-02,        +1.414213562373e-01,        +1.630693565365e-02,        -8.360053390427e-02,        +2.163941431667e-01,        +9.887272480675e-03,        -5.261407671840e-02,        -2.237010892457e-02,        +1.414213562373e-01,        +1.631719575170e-02,        -8.358625624298e-02,        -5.261407671840e-02,        -2.237010892457e-02,        +2.164086238162e-01,        +9.982875039333e-03
 1.40800000e+02,        +1.414213562373e-01,        +1.269906843459e-01,        +2.225835928247e-03,        +1.496629771560e-02,        -8.384495164173e-02,        +1.497712132848e-02,        -8.383036582513e-02,        +1.414213562373e-01,        +1.496629771560e-02,        -8.384495164173e-02,        +2.167302028041e-01,        +8.736348735216e-03,        -5.322246956928e-02,        -2.076831805396e-02,        +1.414213562373e-01,        +1.497712132848e-02,        -8.383036582513e-02,        -5.322246956928e-02,        -2.076831805396e-02,        +2.167456893013e-01,        +8.833133219567e-03
 1.42400000e+02,        +1.414213562373e-01,        +1.270447898346e-01,        +2.006505618591e-03,        +1.362164887451e-02,        -8.406733366718e-02,        +1.363306491803e-02,        -8.405245043143e-02,        +1.414213562373e-01,        +1.362164887451e-02,        -8.406733366718e-02,        +2.170344500608e-01,        +7.578228415680e-03,        -5.378380027136e-02,        -1.915119491925e-02,        +1.414213562373e-01,        +1.363306491803e-02,        -8.405245043143e-02,        -5.378380027136e-02,        -1.915119491925e-02,        +2.170509664620e-01,        +7.676173676471e-03
 1.44000000e+02,        +1.414213562373e-01,        +1.270920029030e-01,        +1.785172823189e-03,        +1.227337376612e-02,        -8.426759571662e-02,        +1.228541140352e-02,        -8.425242741863e-02,        +1.414213562373e-01,        +1.227337376612e-02,        -8.426759571662e-02,        +2.173068051337e-01,        +6.413709321658e-03,        -5.429773701936e-02,        -1.752002061929e-02,        +1.414213562373e-01,        +1.228541140352e-02,        -8.425242741863e-02,        -5.429773701936e-02,        -1.752002061929e-02,        +2.173243748354e-01,        +6.512793306342e-03
 1.45600000e+02,        +1.414213562373e-01,        +1.271322591612e-01,        +1.562036415179e-03,        +1.092185955953e-02,        -8.444566124631e-02,        +1.093454812825e-02,        -8.443022191124e-02,        +1.414213562373e-01,        +1.092185955953e-02,        -8.444566124631e-02,        +2.175472011074e-01,        +5.243585820394e-03,        -5.476397650419e-02,        -1.587608093426e-02,        +1.414213562373e-01,        +1.093454812825e-02,        -8.443022191124e-02,        -5.476397650419e-02,        -1.587608093426e-02,        +2.175658468086e-01,        +5.343785599580e-03
 1.47200000e+02,        +1.414213562373e-01,        +1.271654999794e-01,        +1.337297372504e-03,        +9.567495759195e-03,        -8.460146152981e-02,        +9.580864693959e-03,        -8.458576689656e-02,        +1.414213562373e-01,        +9.567495759195e-03,        -8.460146152981e-02,        +2.177555835577e-01,        +4.068649141521e-03,        -5.518224379695e-02,        -1.422066609932e-02,        +1.414213562373e-01,        +9.580864693959e-03,        -8.458576689656e-02,        -5.518224379695e-02,        -1.422066609932e-02,        +2.177753272233e-01,        +4.169940936942e-03
 1.48800000e+02,        +1.414213562373e-01,        +1.271916725654e-01,        +1.111158601702e-03,        +8.210674002779e-03,        -8.473493574827e-02,        +8.224752754905e-03,        -8.471900331294e-02,        +1.414213562373e-01,        +8.210674002779e-03,        -8.473493574827e-02,        +2.179319101936e-01,        +2.889687706851e-03,        -5.555229225421e-02,        -1.255507060225e-02,        +1.414213562373e-01,        +8.224752754905e-03,        -8.471900331294e-02,        -5.555229225421e-02,        -1.255507060225e-02,        +2.179527730196e-01,        +2.992046920714e-03
 1.50400000e+02,        +1.414213562373e-01,        +1.272107300373e-01,        +8.838247584433e-04,        +6.851787855325e-03,        -8.484603107388e-02,        +6.866605808147e-03,        -8.482988013095e-02,        +1.414213562373e-01,        +6.851787855325e-03,        -8.484603107388e-02,        +2.180761505422e-01,        +1.707487494513e-03,        -5.587390344654e-02,        -1.088059300512e-02,        +1.414213562373e-01,        +6.866605808147e-03,        -8.482988013095e-02,        -5.587390344654e-02,        -1.088059300512e-02,        +2.180981529228e-01,        +1.810888740111e-03
 1.52000000e+02,        +1.414213562373e-01,        +1.272226314885e-01,        +6.555020650476e-04,        +5.491232599872e-03,        -8.493470274631e-02,        +5.506818980166e-03,        -8.491835442753e-02,        +1.414213562373e-01,        +5.491232599872e-03,        -8.493470274631e-02,        +2.181882856788e-01,        +5.228324368788e-04,        -5.614688711272e-02,        -9.198535790187e-03,        +1.414213562373e-01,        +5.506818980166e-03,        -8.491835442753e-02,        -5.614688711272e-02,        -9.198535790187e-03,        +2.182114471741e-01,        +6.272495703123e-04
 1.53600000e+02,        +1.414213562373e-01,        +1.272273420476e-01,        +4.263981252360e-04,        +4.129405024912e-03,        -8.500091414195e-02,        +4.145788810179e-03,        -8.498439145269e-02,        +1.414213562373e-01,        +4.129405024912e-03,        -8.500091414195e-02,        +2.182683080047e-01,        -6.634951482269e-04,        -5.637108114247e-02,        -7.510205230195e-03,        +1.414213562373e-01,        +4.145788810179e-03,        -8.498439145269e-02,        -5.637108114247e-02,        -7.510205230195e-03,        +2.182926473107e-01,        -5.580889953701e-04
 1.55200000e+02,        +1.414213562373e-01,        +1.272248329310e-01,        +1.967217363661e-04,        +2.766703208949e-03,        -8.504463683584e-02,        +2.783913030391e-03,        -8.502796468880e-02,        +1.414213562373e-01,        +2.766703208949e-03,        -8.504463683584e-02,        +2.183162210773e-01,        -1.850714093546e-03,        -5.654635159080e-02,        -5.816911283450e-03,        +1.414213562373e-01,        +2.783913030391e-03,        -8.502796468880e-02,        -5.654635159080e-02,        -5.816911283450e-03,        +2.183417559976e-01,        -1.744346480733e-03
