        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.)
 1.55200000e+02,        -1.996582584022e+01,        +1.792061013433e+02,        -4.412767440286e+00,        -8.813668956036e+01,        -4.414411213924e+00,        -8.812473995227e+01,        -4.412767440286e+00,        -8.813668956036e+01,        -5.289838282045e+00,        -1.378735304149e+00,        -7.916491707065e+00,        -1.741266544399e+02,        -4.414411213924e+00,        -8.812473995227e+01,        -7.916491707065e+00,        -1.741266544399e+02,        -5.287236463757e+00,        -1.299090298979e+00
 1.56800000e+02,        -1.996067164801e+01,        -1.798656268247e+02,        -4.414012912234e+00,        -8.905474566369e+01,        -4.415696812314e+00,        -8.904239289570e+01,        -4.414012912234e+00,        -8.905474566369e+01,        -5.283795551265e+00,        -2.262061160432e+00,        -7.919946446174e+00,        -1.758420425743e+02,        -4.415696812315e+00,        -8.904239289570e+01,        -7.919946446174e+00,        -1.758420425743e+02,        -5.281249138695e+00,        -2.181487505286e+00
 1.58400000e+02,        -1.994881114750e+01,        -1.789386278810e+02,        -4.415327489207e+00,        -8.997287271366e+01,        -4.417050966824e+00,        -8.996010349253e+01,        -4.415327489207e+00,        -8.997287271366e+01,        -5.279312338315e+00,        -3.144761164721e+00,        -7.923129581607e+00,        -1.775574972363e+02,        -4.417050966824e+00,        -8.996010349253e+01,        -7.923129581607e+00,        -1.775574972363e+02,        -5.276822711119e+00,        -3.063258670647e+00
 1.60000000e+02,        -1.993027698939e+01,        -1.780156465074e+02,        -4.416711756127e+00,        -9.089105858748e+01,        -4.418474178453e+00,        -9.087785950073e+01,        -4.416711756127e+00,        -9.089105858748e+01,        -5.276387092779e+00,        -4.026938462232e+00,        -7.926044022626e+00,        -1.792730629409e+02,        -4.418474178453e+00,        -9.087785950073e+01,        -7.926044022626e+00,        -1.792730629409e+02,        -5.273955684728e+00,        -3.944506854238e+00
 1.61600000e+02,        -1.990513763762e+01,        -1.770993889644e+02,        -4.418166243460e+00,        -9.180929105306e+01,        -4.419966890242e+00,        -9.179564858640e+01,        -4.418166243460e+00,        -9.180929105306e+01,        -5.275019614105e+00,        -4.908694314978e+00,        -7.928693046300e+00,        +1.790112169705e+02,        -4.419966890242e+00,        -9.179564858640e+01,        -7.928693046300e+00,        +1.790112169705e+02,        -5.272647914519e+00,        -4.825333225852e+00
 1.63200000e+02,        -1.987349624481e+01,        -1.761924965825e+02,        -4.419691426968e+00,        -9.272755777861e+01,        -4.421529486866e+00,        -9.271345833543e+01,        -4.419691426968e+00,        -9.272755777861e+01,        -5.275211054442e+00,        -5.790127893805e+00,        -7.931080314712e+00,        +1.772953005365e+02,        -4.421529486866e+00,        -9.271345833543e+01,        -7.931080314712e+00,        +1.772953005365e+02,        -5.272900609618e+00,        -5.705836858351e+00
 1.64800000e+02,        -1.983548898023e+01,        -1.752975208376e+02,        -4.421287727504e+00,        -9.364584634205e+01,        -4.423162294263e+00,        -9.363127626543e+01,        -4.421287727504e+00,        -9.364584634205e+01,        -5.276963921490e+00,        -6.671336034533e+00,        -7.933209892557e+00,        +1.755791474161e+02,        -4.423162294263e+00,        -9.363127626543e+01,        -7.933209892557e+00,        +1.755791474161e+02,        -5.274716336124e+00,        -6.586114484380e+00
 1.66400000e+02,        -1.979128286655e+01,        -1.744169005718e+02,        -4.422955510847e+00,        -9.456414424043e+01,        -4.424865579304e+00,        -9.454908983794e+01,        -4.422955510847e+00,        -9.456414424043e+01,        -5.280282080707e+00,        -7.552412953883e+00,        -7.935086264814e+00,        +1.738627191682e+02,        -4.424865579304e+00,        -9.454908983794e+01,        -7.935086264814e+00,        +1.738627191682e+02,        -5.278099019341e+00,        -7.466260213071e+00
 1.68000000e+02,        -1.974107319589e+01,        -1.735529418318e+02,        -4.424695087562e+00,        -9.548243889922e+01,        -4.426639549501e+00,        -9.546688647103e+01,        -4.424695087562e+00,        -9.548243889922e+01,        -5.285170756057e+00,        -8.433449920392e+00,        -7.936714353988e+00,        +1.721459795775e+02,        -4.426639549501e+00,        -9.546688647103e+01,        -7.936714353988e+00,        +1.721459795775e+02,        -5.283053944548e+00,        -8.346365201929e+00
 1.69600000e+02,        -1.968508060659e+01,        -1.727078006832e+02,        -4.426506712907e+00,        -9.640071768137e+01,        -4.428484352766e+00,        -9.638465355219e+01,        -4.426506712907e+00,        -9.640071768137e+01,        -5.291636528249e+00,        -9.314534875113e+00,        -7.938099536283e+00,        +1.704288950334e+02,        -4.428484352766e+00,        -9.638465355219e+01,        -7.938099536283e+00,        +1.704288950334e+02,        -5.289587755305e+00,        -9.226517278754e+00
