        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 1.31200000e+02,        +7.071067811865e+00,        +6.326280905773e+00,        +1.744468177083e-01,        +1.146835105480e+00,        -4.102569213929e+00,        +1.147228237527e+00,        -4.101937875459e+00,        +7.071067811865e+00,        +1.146835105480e+00,        -4.102569213929e+00,        +1.071202055848e+01,        +7.752874701922e-01,        -2.443990377741e+00,        -1.505230183397e+00,        +7.071067811865e+00,        +1.147228237527e+00,        -4.101937875459e+00,        -2.443990377741e+00,        -1.505230183397e+00,        +1.071251223711e+01,        +7.797580716742e-01
 1.32800000e+02,        +7.071067811865e+00,        +6.330970737064e+00,        +1.642829101887e-01,        +1.081089312594e+00,        -4.120222703006e+00,        +1.081503691063e+00,        -4.119574392974e+00,        +7.071067811865e+00,        +1.081089312594e+00,        -4.120222703006e+00,        +1.073669261322e+01,        +7.201455841393e-01,        -2.485876313589e+00,        -1.429925387947e+00,        +7.071067811865e+00,        +1.081503691063e+00,        -4.119574392974e+00,        -2.485876313589e+00,        -1.429925387947e+00,        +1.073722815007e+01,        +7.246798441282e-01
 1.34400000e+02,        +7.071067811865e+00,        +6.335341057386e+00,        +1.539618962693e-01,        +1.015049045965e+00,        -4.136801071014e+00,        +1.015486006591e+00,        -4.136135959397e+00,        +7.071067811865e+00,        +1.015049045965e+00,        -4.136801071014e+00,        +1.075980448466e+01,        +6.644414570548e-01,        -2.525513731380e+00,        -1.353537696363e+00,        +7.071067811865e+00,        +1.015486006591e+00,        -4.136135959397e+00,        -2.525513731380e+00,        -1.353537696363e+00,        +1.076038521654e+01,        +6.690385603317e-01
 1.36000000e+02,        +7.071067811865e+00,        +6.339387017349e+00,        +1.434929136810e-01,        +9.487327635412e-01,        -4.152298258319e+00,        +9.491936700850e-01,        -4.151616583076e+00,        +7.071067811865e+00,        +9.487327635412e-01,        -4.152298258319e+00,        +1.078134860155e+01,        +6.082159940707e-01,        -2.562878798694e+00,        -1.276129781132e+00,        +7.071067811865e+00,        +9.491936700850e-01,        -4.151616583076e+00,        -2.562878798694e+00,        -1.276129781132e+00,        +1.078197584258e+01,        +6.128750750217e-01
 1.37600000e+02,        +7.071067811865e+00,        +6.343104026166e+00,        +1.328852542035e-01,        +8.821590959583e-01,        -4.166708562424e+00,        +8.826453374130e-01,        -4.166010632271e+00,        +7.071067811865e+00,        +8.821590959583e-01,        -4.166708562424e+00,        +1.080131816210e+01,        +5.515098826608e-01,        -2.597949149900e+00,        -1.197764623631e+00,        +7.071067811865e+00,        +8.826453374130e-01,        -4.166010632270e+00,        -2.597949149900e+00,        -1.197764623631e+00,        +1.080199320150e+01,        +5.562300261580e-01
 1.39200000e+02,        +7.071067811865e+00,        +6.346487757224e+00,        +1.221483560667e-01,        +8.153468378390e-01,        -4.180026644322e+00,        +8.158598254727e-01,        -4.179312841440e+00,        +7.071067811865e+00,        +8.153468378390e-01,        -4.180026644322e+00,        +1.081970710584e+01,        +4.943635980106e-01,        -2.630703876268e+00,        -1.118505496686e+00,        +7.071067811865e+00,        +8.158598254727e-01,        -4.179312841440e+00,        -2.630703876268e+00,        -1.118505496686e+00,        +1.082043120583e+01,        +4.991438403881e-01
 1.40800000e+02,        +7.071067811865e+00,        +6.349534153384e+00,        +1.112917961246e-01,        +7.483149388336e-01,        -4.192247534580e+00,        +7.488561030549e-01,        -4.191518317247e+00,        +7.071067811865e+00,        +7.483149388336e-01,        -4.192247534580e+00,        +1.083651008697e+01,        +4.368174103550e-01,        -2.661123516766e+00,        -1.038415948377e+00,        +7.071067811865e+00,        +7.488561030549e-01,        -4.191518317247e+00,        -2.661123516766e+00,        -1.038415948377e+00,        +1.083728448075e+01,        +4.416567404750e-01
 1.42400000e+02,        +7.071067811865e+00,        +6.352239432033e+00,        +1.003252818113e-01,        +6.810824944045e-01,        -4.203366639123e+00,        +6.816532814531e-01,        -4.202622544261e+00,        +7.071067811865e+00,        +6.810824944045e-01,        -4.203366639123e+00,        +1.085172244925e+01,        +3.789113942318e-01,        -2.689190049593e+00,        -9.575597870930e-01,        +7.071067811865e+00,        +6.816532814531e-01,        -4.202622544261e+00,        -2.689190049593e+00,        -9.575597870930e-01,        +1.085254833897e+01,        +3.838087546392e-01
 1.44000000e+02,        +7.071067811865e+00,        +6.354600089851e+00,        +8.925864288839e-02,        +6.136687363706e-01,        -4.213379744724e+00,        +6.142706048294e-01,        -4.212621390361e+00,        +7.071067811865e+00,        +6.136687363706e-01,        -4.213379744724e+00,        +1.086534020256e+01,        +3.206854396063e-01,        -2.714886884527e+00,        -8.760010678019e-01,        +7.071067811865e+00,        +6.142706048294e-01,        -4.212621390361e+00,        -2.714886884527e+00,        -8.760010678018e-01,        +1.086621875739e+01,        +3.256397277668e-01
 1.45600000e+02,        +7.071067811865e+00,        +6.356612907309e+00,        +7.810182299592e-02,        +5.460930232211e-01,        -4.222283024174e+00,        +5.467274403482e-01,        -4.221511111814e+00,        +7.071067811865e+00,        +5.460930232211e-01,        -4.222283024174e+00,        +1.087736000116e+01,        +2.621792648218e-01,        -2.738198856156e+00,        -7.938040795314e-01,        +7.071067811865e+00,        +5.467274403482e-01,        -4.221511111814e+00,        -2.738198856156e+00,        -7.938040795314e-01,        +1.087829235541e+01,        +2.671893344391e-01
