        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 2.03200000e+02,        +7.662987728296e-13,        +7.057432457551e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.339282462480e-13,        +7.181617424138e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.329553699315e-13,        +7.178433085329e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.04800000e+02,        +7.661498048084e-13,        +7.051445529176e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.365352650382e-13,        +7.178817299148e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.355581659028e-13,        +7.175538001974e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.06400000e+02,        +7.659727746422e-13,        +7.045554910445e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.391003452122e-13,        +7.177354463644e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.381190150472e-13,        +7.173979603223e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.08000000e+02,        +7.657679328441e-13,        +7.039761989327e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.416221792755e-13,        +7.177191931782e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.406366115826e-13,        +7.173721088799e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.09600000e+02,        +7.655355483519e-13,        +7.034068116769e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.440989218847e-13,        +7.178279961989e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.431091134692e-13,        +7.174712948876e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.11200000e+02,        +7.652759081093e-13,        +7.028474605485e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.465281185916e-13,        +7.180554987494e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.455340716091e-13,        +7.176891898617e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.12800000e+02,        +7.649893166542e-13,        +7.022982729030e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.489066593092e-13,        +7.183939314555e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.479083837807e-13,        +7.180180577813e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.14400000e+02,        +7.646760957136e-13,        +7.017593721091e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.512307718817e-13,        +7.188341925828e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.502282886339e-13,        +7.184488351928e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.16000000e+02,        +7.643365838057e-13,        +7.012308774967e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.534960713009e-13,        +7.193660691922e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.524894152203e-13,        +7.189713516476e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.17600000e+02,        +7.639711358463e-13,        +7.007129043185e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.556976769327e-13,        +7.199786176315e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.546869003417e-13,        +7.195747089192e-13,        +0.000000000000e+00,        +0.000000000000e+00
