 time            v1              v2              v3              v4             
 8.02800000e-12  1.47662428e+00  6.01963678e-01 -3.35107844e-01  3.12284047e-01 
 8.12800000e-12  1.45012022e+00  6.53521866e-01 -3.09641971e-01  3.26926986e-01 
 8.22800000e-12  1.41402187e+00  7.03432225e-01 -2.77719809e-01  3.41852349e-01 
 8.32800000e-12  1.36869377e+00  7.51161372e-01 -2.39678505e-01  3.56937657e-01 
 8.42800000e-12  1.31459362e+00  7.96199102e-01 -1.95912228e-01  3.72055654e-01 
 8.52800000e-12  1.25226774e+00  8.38063952e-01 -1.46868393e-01  3.87075397e-01 
 8.62800000e-12  1.18234548e+00  8.76308406e-01 -9.30434006e-02  4.01863484e-01 
 8.72800000e-12  1.10553292e+00  9.10523691e-01 -3.49779169e-02  4.16285416e-01 
 8.82800000e-12  1.02260571e+00  9.40344115e-01  2.67482608e-02  4.30207055e-01 
 8.92800000e-12  9.34401240e-01  9.65450897e-01  9.15217096e-02  4.43496157e-01 
 9.02800000e-12  8.41810205e-01  9.85575476e-01  1.58701208e-01  4.56023952e-01 
 9.12800000e-12  7.45767583e-01  1.00050224e+00  2.27623836e-01  4.67666739e-01 
 9.22800000e-12  6.47243207e-01  1.01007071e+00  2.97611285e-01  4.78307479e-01 
 9.32800000e-12  5.47231975e-01  1.01417702e+00  3.67976329e-01  4.87837336e-01 
 9.42800000e-12  4.46743795e-01  1.01277496e+00  4.38029397e-01  4.96157167e-01 
 9.52800000e-12  3.46793395e-01  1.00587622e+00  5.07085171e-01  5.03178910e-01 
 9.62800000e-12  2.48390070e-01  9.93550135e-01  5.74469170e-01  5.08826860e-01 
 9.72800000e-12  1.52527494e-01  9.75922824e-01  6.39524241e-01  5.13038809e-01 
 9.82800000e-12  6.01736831e-02  9.53175677e-01  7.01616897e-01  5.15767026e-01 
 9.92800000e-12 -2.77387765e-02  9.25543338e-01  7.60143447e-01  5.16979069e-01 
 1.00280000e-11 -1.10322148e-01  8.93311114e-01  8.14535853e-01  5.16658401e-01 
 1.01280000e-11 -1.86742507e-01  8.56811884e-01  8.64267260e-01  5.14804820e-01 
 1.02280000e-11 -2.56228163e-01  8.16422523e-01  9.08857136e-01  5.11434674e-01 
 1.03280000e-11 -3.18077454e-01  7.72559898e-01  9.47875982e-01  5.06580870e-01 
 1.04280000e-11 -3.71665826e-01  7.25676463e-01  9.80949553e-01  5.00292679e-01 
 1.05280000e-11 -4.16452146e-01  6.76255509e-01  1.00776255e+00  4.92635323e-01 
 1.06280000e-11 -4.51984163e-01  6.24806117e-01  1.02806177e+00  4.83689367e-01 
 1.07280000e-11 -4.77903076e-01  5.71857867e-01  1.04165858e+00  4.73549913e-01 
 1.08280000e-11 -4.93947158e-01  5.17955357e-01  1.04843089e+00  4.62325613e-01 
 1.09280000e-11 -4.99954395e-01  4.63652583e-01  1.04832434e+00  4.50137510e-01 
 1.10280000e-11 -4.95864126e-01  4.09507250e-01  1.04135294e+00  4.37117723e-01 
 1.11280000e-11 -4.81717656e-01  3.56075053e-01  1.02759892e+00  4.23407997e-01 
 1.12280000e-11 -4.57657833e-01  3.03904005e-01  1.00721202e+00  4.09158134e-01 
 1.13280000e-11 -4.23927615e-01  2.53528854e-01  9.80408037e-01  3.94524324e-01 
 1.14280000e-11 -3.80867606e-01  2.05465649e-01  9.47466717e-01  3.79667400e-01 
 1.15280000e-11 -3.28912627e-01  1.60206511e-01  9.08729033e-01  3.64751041e-01 
 1.16280000e-11 -2.68587316e-01  1.18214661e-01  8.64593832e-01  3.49939937e-01 
 1.17280000e-11 -2.00500836e-01  7.99197491e-02  8.15513894e-01  3.35397950e-01 
 1.18280000e-11 -1.25340723e-01  4.57135305e-02  7.61991448e-01  3.21286282e-01 
 1.19280000e-11 -4.38659406e-02  1.59459414e-02  7.04573188e-01  3.07761680e-01 
 1.20280000e-11  4.31007819e-02 -9.07840260e-03  6.43844830e-01  2.94974698e-01 
 1.21280000e-11  1.34681257e-01 -2.91032417e-02  5.80425262e-01  2.83068030e-01 
 1.22280000e-11  2.29950709e-01 -4.39232141e-02  5.14960363e-01  2.72174937e-01 
 1.23280000e-11  3.27947109e-01 -5.33858819e-02  4.48116533e-01  2.62417792e-01 
 1.24280000e-11  4.27680893e-01 -5.73932207e-02  3.80574001e-01  2.53906743e-01 
 1.25280000e-11  5.28144953e-01 -5.59025593e-02  3.13019998e-01  2.46738525e-01 
 1.26280000e-11  6.28324806e-01 -4.89269616e-02  2.46141836e-01  2.40995419e-01 
 1.27280000e-11  7.27208840e-01 -3.65350471e-02  1.80619985e-01  2.36744382e-01 
 1.28280000e-11  8.23798527e-01 -1.88502537e-02  1.17121205e-01  2.34036341e-01 
 1.29280000e-11  9.17118507e-01  3.95044963e-03  5.62918160e-02  2.32905675e-01 
 1.30280000e-11  1.00622644e+00  3.16383867e-02 -1.24884364e-03  2.33369870e-01 
 1.31280000e-11  1.09022251e+00  6.39355151e-02 -5.49146824e-02  2.35429363e-01 
 1.32280000e-11  1.16825854e+00  1.00517261e-01 -1.04158796e-01  2.39067576e-01 
 1.33280000e-11  1.23954652e+00  1.41015818e-01 -1.48479014e-01  2.44251121e-01 
 1.34280000e-11  1.30336658e+00  1.85023879e-01 -1.87422999e-01  2.50930196e-01 
 1.35280000e-11  1.35907427e+00  2.32098758e-01 -2.20592846e-01  2.59039143e-01 
 1.36280000e-11  1.40610706e+00  2.81766869e-01 -2.47649126e-01  2.68497184e-01 
 1.37280000e-11  1.44399001e+00  3.33528510e-01 -2.68314351e-01  2.79209304e-01 
 1.38280000e-11  1.47234058e+00  3.86862904e-01 -2.82375801e-01  2.91067281e-01 
 1.39280000e-11  1.49087249e+00  4.41233453e-01 -2.89687701e-01  3.03950857e-01 
