 time            v1              v2              v3             
 1.74280000e-11 -4.70914051e-01  1.63264847e-01  1.63070882e-01 
 1.75280000e-11 -4.41982489e-01  1.01718388e-01  1.01533703e-01 
 1.76280000e-11 -4.03538819e-01  4.29155533e-02  4.27424611e-02 
 1.77280000e-11 -3.55971246e-01 -1.25594847e-02 -1.27187608e-02 
 1.78280000e-11 -2.99760103e-01 -6.41544836e-02 -6.42978547e-02 
 1.79280000e-11 -2.35473011e-01 -1.11354481e-01 -1.11480031e-01 
 1.80280000e-11 -1.63759136e-01 -1.53686829e-01 -1.53792851e-01 
 1.81280000e-11 -8.53426450e-02 -1.90725868e-01 -1.90810901e-01 
 1.82280000e-11 -1.01538351e-03 -2.22097199e-01 -2.22160055e-01 
 1.83280000e-11  8.83711143e-02 -2.47481509e-01 -2.47521299e-01 
 1.84280000e-11  1.81914227e-01 -2.66617903e-01 -2.66634057e-01 
 1.85280000e-11  2.78669358e-01 -2.79306715e-01 -2.79298992e-01 
 1.86280000e-11  3.77659479e-01 -2.85411755e-01 -2.85380254e-01 
 1.87280000e-11  4.77884991e-01 -2.84861963e-01 -2.84807121e-01 
 1.88280000e-11  5.78333819e-01 -2.77652447e-01 -2.77575031e-01 
 1.89280000e-11  6.77991635e-01 -2.63844877e-01 -2.63745977e-01 
 1.90280000e-11  7.75852097e-01 -2.43567231e-01 -2.43448232e-01 
 1.91280000e-11  8.70927014e-01 -2.17012866e-01 -2.16875433e-01 
 1.92280000e-11  9.62256323e-01 -1.84438932e-01 -1.84284976e-01 
 1.93280000e-11  1.04891778e+00 -1.46164119e-01 -1.45995764e-01 
 1.94280000e-11  1.13003629e+00 -1.02565754e-01 -1.02385299e-01 
 1.95280000e-11  1.20479271e+00 -5.40762686e-02 -5.38861495e-02 
 1.96280000e-11  1.27243216e+00 -1.17905919e-03 -9.81807874e-04 
 1.97280000e-11  1.33227162e+00  5.55962137e-02  5.57980119e-02 
 1.98280000e-11  1.38370682e+00  1.15678857e-01  1.15882605e-01 
 1.99140000e-11  1.42082098e+00  1.69554398e-01  1.69757745e-01 
 2.00000000e-11  1.45105652e+00  2.25043649e-01  2.25244738e-01 
